	water	octanol	hexadecane	chloroform	cyclohexane	carbontet	benzene	diethylether	heptane	hexane	toluene	xylene	dichloroethane	decane	chlorobenzene	octane	isooctane	ethylbenzene	decalin	bromobenzene	nonane	pentane	ethylacetate	diisopropylether	butylacetate	pentanol	butanol	iodobenzene	isopropylbenzene	isobutanol	tributylphosphate	carbondisulfide	dibutylether	perfluorobenzene	nitrobenzene	hexanol	tbutylbenzene	4methyl2pentanone	undecane	butanone	heptanol	bromoform	chlorohexane	decanol	odichlorobenzene	methylenechloride	trimethylbenzene	butylbenzene	benzylalcohol	aniline	cyclohexanone	nonanol	dibromoethane	tetrachloroethene	secbutanol	tetralin	hexadecyliodide	pentadecane	acetophenone	anisole	dodecane	ethanol	pyridine	benzonitrile	bromoethane	propanol	ethoxybenzene	fluorobenzene	nitromethane	nitroethane	tetrahydrothiophenedioxide	methylformamide	triethylamine	mesitylene	mcresol	isopropanol	dimethylacetamide	dimethylformamide	acetonitrile	dimethylsulfoxide	aceticacid	tetrahydrofuran	2methylpyridine	phenylether	onitrotoluene	methoxyethanol	isopropyltoluene	dimethylpyridine	fluoroctane	secbutylbenzene	bromooctane
benzaldehyde																																																																																											
m-xylene																																																																																											
anisole																																																																																											
ammonia																																																																																											
methylbenzoate																																																																																											
benzonitrile																																																																																											
p-hydroxybenzaldehyde																																																																																											
benzamide																																																																																											
formaldehyde																																																																																											
chloroform																																																																																											
isopropanol																																																																																											
"1,4-dichlorobenzene"																																																																																											
triethylphosphate																																																																																											
trimethylphosphate																																																																																											
iodobenzene																																																																																											
1-nitropropane																																																																																											
o-xylene																																																																																											
2-methylaniline																																																																																											
2-methyl-1-nitrobenzene																																																																																											
"1,2-ethanediol"																																																																																											
tripropylphosphate																																																																																											
n-pentane																																																																																											
acetonitrile																																																																																											
2-methylpyridine																																																																																											
t-butanol																																																																																											
dipropylamine																																																																																											
bromoform																																																																																											
n-hexane																																																																																											
cyclohexane																																																																																											
N-methylaniline																																																																																											
3-methylaniline																																																																																											
1-octanol																																																																																											
piperidine																																																																																											
ethylphenylether																																																																																											
2-methoxyethanol																																																																																											
diethylether																																																																																											
5-bromouracil																																																																																											
thioanisole																																																																																											
trichloroethene																																																																																											
"1,2-dichlorobenzene"																																																																																											
4-methylpyridine																																																																																											
"2,6-dimethylpyridine"																																																																																											
uracil																																																																																											
m-hydroxybenzaldehyde																																																																																											
5-fluorouracil																																																																																											
2-ethylpyrazine																																																																																											
acetamide																																																																																											
2-methylpyrazine																																																																																											
tetrahydropyran																																																																																											
"1,1,1-trichloroethane"																																																																																											
"2,2,2-trifluoroethanol"																																																																																											
thiophene																																																																																											
1-propanethiol																																																																																											
allylalcohol																																																																																											
thiophenol																																																																																											
3-methylpyridine																																																																																											
nitroethane																																																																																											
n-heptane																																																																																											
1-butene																																																																																											
dichloromethane																																																																																											
hydrazine																																																																																											
butanal																																																																																											
g-butyrolactone																																																																																											
tetrachloroethene																																																																																											
urea																																																																																											
p-xylene																																																																																											
2-octanone	-2.88	-6.38	-5.81						-5.68																																																																																		
methylcyclohexane	1.71	-3.21	-4.43																																																						-4.07																																		
"N,N-dimethylformamide"		-6.14			-3.82			-5.31																																																																						-6.47													
anthracene	-4.23	-10.47	-10.32						-10.0																																																																																		
1-nitrobutane	-3.08	-5.11	-4.66							-4.64																																																																																	
tetrahydrofuran	-3.47	-3.93	-3.6																																																																															-4.25									
propanal	-3.44	-4.13	-2.48					-3.85																																																																																			
"E-1,2-dichloroethene"	-0.76	-3.61	-3.11																																				-3.6																																																				
3-pentanone	-3.41	-4.36	-3.83		-4.3																																																																																						
n-butane	2.08	-1.86	-2.2		-2.86																																																																																						
n-propane	1.96	-1.26	-1.43		-2.09																																																																																						
iodomethane	-0.89	-3.07	-2.88					-3.51																																																																																			
propene	1.27	-1.14	-1.29														-1.61																																																																										
fluorotrichloromethane	0.82	-2.63		-2.62	-2.63																																																																																						
acetaldehyde	-3.5		-1.68	-3.65				-2.85																																																																																			
bromoethane	-0.7	-2.9	-2.89																																																														-3.67																										
cyclopentanone	-4.68	-5.01	-4.39			-5.26																																																																																					
diethylsulfide	-1.43	-4.09	-4.23	-6.4																																																																																							
dimethyl4-nitrophenylthiophosphate	-7.62	-11.7		-9.51			-9.21																																																																																				
"1,1-dimethyl-3-phenylurea"	-9.63	-13.12		-13.64			-12.18																																																																																				
isopropylether	-0.53		-4.02	-3.78																				-3.97																																																																			
hydrogensulfide	-0.7		-0.72	-0.51				-0.6																																																																																			
difluorodichloromethane	1.69	-1.25		-1.55	-1.81																																																																																						
"N,N-dimethylacetamide"		-7.48		-8.38					-4.8																																																																				-6.77														
"1,2-dimethoxyethane"	-4.84	-4.55	-3.63																																																																																								
1-hexyne	0.29	-3.43	-3.42																																																																																								
1-pentyne	0.01	-2.79	-2.74																																																																																								
butanonitrile	-3.64	-4.25	-3.48																																																																																								
propionitrile	-3.85	-3.66	-2.84																																																																																								
hydrogen	2.33	1.76	1.64																																																																																								
3-bromopropene	-0.86	-3.3	-3.42																																																																																								
pentylamine	-4.1		-4.28									-4.7																																																																															
dimethylether	-1.92	-2.06	-1.49																																																																																								
quinoline		-8.43		-10.23	-7.38																																																																																						
methylbutanoate	-2.83	-4.59	-4.01																																																																																								
methylformate	-2.78	-2.82	-1.99																																																																																								
2-nitropropane	-3.14	-4.23	-3.47																																																																																								
bromotoluene	-2.37	-6.36	-6.36																																																																																								
pentanal	-3.03		-3.89														-4.24																																																																										
"3,5-dimethylpyridine"	-4.84		-2.52				-7.64																																																																																				
N-methyl-2-pyrrolidinone		-8.63		-9.82					-5.8																																																																																		
diethyl4-nitrophenylthiophosphonate	-6.27	-11.31					-8.58																																																																																				
"2,2-dichloroethenyldimethylphosphate"	-6.61	-8.59					-9.09																																																																																				
1-bromopentane	-0.08	-4.68	-4.93																																																																																								
1-bromobutane	-0.41	-4.16	-4.24																																																																																								
2-bromopropane	-0.48	-3.4	-3.26																																																																																								
1-bromopropane	-0.56	-3.42	-3.57																																																																																								
dibromomethane	-2.11	-4.18	-3.94																																																																																								
"Z-1,2-dichloroethene"	-1.17	-3.71	-3.33																																																																																								
2-chloropropane	-0.25	-2.84	-2.69																																																																																								
ethanethiol	-1.3		-2.96														-3.13																																																																										
1-chloropropane	-0.27	-3.06	-2.86																																																																																								
"1,1,2-trichloroethane"	-1.95	-4.53	-4.49																																																																																								
chloroethane	-0.63	-2.58	-2.29																																																																																								
"1,1,2-trichloro-1,2,2-trifluoroethane"	1.77	-2.54	-2.89																																																																																								
dimethyldisulfide	-1.83	-4.24	-4.84																																																																																								
1-hexene	1.68	-2.94	-3.51																																																																																								
propyne	-0.31	-1.59	-1.4																																																																																								
ethyne	-0.01	-0.51	-0.2																																																																																								
p-dibromobenzene	-2.3	-7.47							-7.55																																																																																		
"2,2-dimethylpropane"	2.5	-1.74	-2.48																																																																																								
pyrrole		-5.28		-5.5	-3.77																																																																																						
9-methyladenine	-13.6	-13.56		-12.51																																																																																							
"3,5-dibromo-4-hydroxybenzonitrile"	-9.0				-6.83					-9.67																																																																																	
1-decanol		-9.88	-7.68																																									-9.58																																															
cyclopentanol	-5.49		-4.42					-6.5																																																																																			
morpholine	-7.17	-5.99		-6.72																																																																																							
formamide		-7.8	-2.91					-5.97																																																																																			
piperazine	-7.4	-5.8																												-6.58																																																													
1-pentene	1.66		-2.79														-2.36																																																																										
2-methylpropene	1.16	-2.03				-2.63																																																																																					
"2,2'-dichlorobiphenyl"	-2.73	-9.41							-9.22																																																																																		
methane	2.0	0.51	0.45																																																																																								
ethane	1.83	-0.64	-0.67																																																																																								
2-methylpropane	2.32	-1.45	-1.92																																																																																								
"1-bromo-1-chloro-2,2,2-trifluoroethane"	-0.13	-3.27	-2.97																																																																																								
"s-trans-1,3-butadiene"	0.61	-2.1	-2.1																																																																																								
cyclopropane	0.75	-1.6	-1.78																																																																																								
cyclopentane	1.2	-2.65	-3.38																																																																																								
4-ethylpyridine	-4.74	-7.8	-2.45																																																																																								
ethene	1.27	-0.27	-0.39																																																																																								
tetramethylsilane	3.04	-1.79	-2.92																																																																																								
diiodomethane	-2.49	-5.63	-5.26																																																																																								
iodoethane	-0.72	-3.45	-3.51																																																																																								
bromomethane	-0.82	-2.43																																																																																									
bromotrifluoromethane	1.79	-0.75																																																																																									
chlorodifluoromethane	-0.5	-1.97																																																																																									
tetrafluoromethane	3.16	1.5																																																																																									
O-ethylO'-4-bromo-2-chlorophenylS-propylphosphorothioate	-4.09	-10.49																																																																																									
"1,1,1-trifluoropropan-2-ol"	-4.16	-5.12																																																																																									
"1,1,1,3,3,3-hexafluoropropan-2-ol"	-3.77	-5.76																																																																																									
"diethyl2,4-dichlorophenylthiophosphate"	-3.86	-10.87																																																																																									
methyl3-methyl-4-thiomethoxyphenylthiophosphate	-6.92	-12.55																																																																																									
"2,3-dichlorobiphenyl"	-2.45	-9.23																																																																																									
"4-amino-3,5,6-trichloropyridine-2-carboxylicacid"	-11.96	-12.37																																																																																									
"1,2,3,4,5,6-hexachlorocyclohexane(lindane)"	-5.4	-10.71																																																																																									
5-chlorouracil	-17.74	-17.26																																																																																									
5-trifluoromethyluracil	-15.46	-15.51																																																																																									
"dimethyl2,4,5-trichlorophenylthiophosphate"	-5.06	-11.69																																																																																									
methylhydrazine	-5.31	-3.88																																																																																									
"2,2',3'-trichlorobiphenyl"	-1.99	-9.12																																																																																									
"2,6-dichlorobenzonitrile"	-5.22	-9.18																																																																																									
"dimethyl4-bromo-2,5-dichlorophenylthiophosphate"	-5.7	-12.3																																																																																									
ethyl4-cyanophenylphenylthiophosphonate	-5.1	-11.06																																																																																									
2-iodopropane	-0.46	-4.4																																																																																									
ibuprofen(racemic)	-7.0	-12.42																																																																																									
acetylsalicylicacid	-9.94	-11.56																																																																																									
octafluorocyclobutane	3.43	0.31																																																																																									
t-butylmethylether	-2.21	-3.49																																																																																									
2-methoxybenzoicacid	-10.32	-12.49																																																																																									
phenacetin	-10.91	-13.07																																																																																									
N-(2-hydroxyphenyl)acetamide	-11.61	-12.59																																																																																									
fenbufen	-12.75	-17.12																																																																																									
N-(3-hydroxyphenyl)acetamide	-13.93	-14.93																																																																																									
paracetamol	-14.83	-15.46																																																																																									
sulfolane	-8.61	-7.56																																																																																									
4-methoxybenzoicacid	-9.15	-11.82																																																																																									
3-methoxybenzoicacid	-8.93	-11.69																																																																																									
propylparaben	-9.37	-13.52																																																																																									
phthalimide	-9.61	-11.18																																																																																									
pentachloronitrobenzene	-5.22	-11.55																																																																																									
tolfenamicacid	-6.71	-13.76																																																																																									
butylparaben	-8.72	-13.59																																																																																									
diclofenacacid	-6.3	-12.45																																																																																									
4-nitroaniline	-9.45	-11.35																																																																																									
naproxen	-10.21	-14.55																																																																																									
flufenamicacid	-5.68	-12.84																																																																																									
methylparaben	-9.51	-12.18																																																																																									
ketoprofen(racemic)	-10.78	-15.04																																																																																									
5-iodouracil	-18.72	-18.77																																																																																									
hexachlorobenzene	-2.33	-10.15																																																																																									
flurbiprofen(racemic)	-8.42	-14.1																																																																																									
ethylparaben	-9.2	-12.57																																																																																									
diflunisal	-9.4	-15.46																																																																																									
cyanuricacid	-18.06	-18.89																																																																																									
caffeine	-12.64	-12.54																																																																																									
"1,1-difluoroethane"	-0.11	-1.13																																																																																									
3-chloropropene	-0.57		-2.88																																																																																								
ethylformate	-2.65		-2.59																																																																																								
octanal	-2.29		-5.98																																																																																								
"2,2,2-trifluorethylvinylether"	-0.12		-1.91																																																																																								
"1-bromo-1,2,2,2-tetrafluoroethane"	0.52		-1.87																																																																																								
dipropylsulfide	-1.27		-5.61																																																																																								
dimethylsulfide	-1.54		-3.05																																																																																								
"2,5-dimethylpyridine"	-4.72		-5.52																																																																																								
"2,4-dimethylpyridine"	-4.86		-5.52																																																																																								
5-nonanone	-2.67		-6.46																																																																																								
4-heptanone	-2.93		-5.2																																																																																								
methylisopropylether	-2.01	-4.64																																																																																									
1-butyne	-0.16		-2.07																																																																																								
"2,2,4-trimethylpentane"	2.85		-4.24																																																																																								
"2,4-dimethylpentane"	2.88		-3.87																																																																																								
2-methylpentane	2.52		-3.48																																																																																								
E-2-pentene	1.34					-3.46																																																																																					
1-methylthymine	-10.4			-9.71																																																																																							
diethyldisulfide	-1.63		-5.74																																																																																								
"1,1-dichloro-2,2-difluoroethylmethylether"		-4.02	-3.9																																																																																								
p-bromotoluene	-1.39		-6.19																																																																																								
methylpropylether	-1.66	-3.63																																																																																									
bromotrichloromethane	-0.93		-4.46																																																																																								
N-methylformamide		-6.97																																																																						-8.27																			
"3,4-dimethylpyridine"	-5.22		-2.58																																																																																								
1-iodopropane	-0.59		-4.27																																																																																								
1-bromo-isobutane	-0.03		-4.04																																																																																								
1-iodobutane	-0.25		-4.95																																																																																								
1-iodopentane	-0.12		-5.63																																																																																								
"3a,4,7,7a-tetrahydro-2-[(trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione(captan)"	-9.0																																																																																										
"S-4-chlorophenylthiomethylO,O-diethylphosphorodithioate(carbophenothion)"	-6.5																																																																																										
2-methyl-2-(methylthio)propanalO-(N-methylcarbamoyl)oxime(aldicarb)	-9.8																																																																																										
trichloro(nitro)methane(chloropicrin)	-1.5																																																																																										
ethyl2-(4-chloro-6-methoxypyrimidin-2-ylcarbamoylsulfamoyl)benzoate(chlorimuronethyl)	-14.0																																																																																										
"phosphoricacid[(E)-2-chloro-1-(2,4-dichlorophenyl)vinyl]diethylester(chlorfenvinphos)"	-7.1																																																																																										
"octachloro-4,7-methanohydroindane(chlordane)"	-3.4																																																																																										
"O,O-dimethylS-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl]dithiophosphate(azinphosmethyl)"	-10.0																																																																																										
2-(ethylamino)-4-isopropylamino-6-methyl-thio-s-triazine(ametryn)	-7.7																																																																																										
"2,3-dihydro-2,2-dimethyl-7-benzofuranylmethylcarbamate(carbofuran)"	-9.6																																																																																										
1-naphthylmethylcarbamate(carbaryl)	-9.5																																																																																										
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline(benefin)"	-3.5																																																																																										
"a-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-o-toluicacid(bensulfuron)"	-17.2																																																																																										
5-Bromo-3-sec-butyl-6-methyl-uracil(bromacil)	-9.7																																																																																										
ethyleneglycolmononitrate	-8.2																																																																																										
"2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide(alachlor)"	-8.2																																																																																										
3-ethyl-2-methoxypyrazine		-6.85																																																																																									
isobutylnitrate	-1.9																																																																																										
dimethoxymethane	-2.93																																																																																										
m-bis(trifluoromethyl)benzene	1.07																																																																																										
"N,N-dimethyl-p-methoxybenzamide"	-11.01																																																																																										
"N,N,4-trimethylbenzamide"	-9.76																																																																																										
bis(2-chloroethyl)ether	-4.23																																																																																										
"1,1-diacetoxyethane"	-4.97																																																																																										
"1,1-diethoxyethane"	-3.28																																																																																										
diethylpropanedioate	-6.0																																																																																										
ethyleneglycoldiacetate	-6.34																																																																																										
2-butylnitrate	-1.8																																																																																										
"1,2-diethoxyethane"	-3.54																																																																																										
phenylformate	-3.82																																																																																										
imidazole	-9.81																																																																																										
"S-(RS)-2-chloro-1-phthalimidoethylO,O-diethylphosphorodithioate(dialifor)"	-5.7																																																																																										
nitroglycol	-5.7																																																																																										
"1,2-dinitroxypropane"	-5.0																																																																																										
butylnitrate	-2.1																																																																																										
"O,O-diethylO-3,5,6-trichloro-2-pyridylphosphorothioate(chlorpyrifos)"	-5.0																																																																																										
nitroxyacetone	-6.0																																																																																										
diethoxy-[(2-isopropyl-6-methyl-4-pyrimidinyl)oxy]-thioxophosphorane(diazinon)	-6.5																																																																																										
"3,6-dichloro-2-methoxybenzoicacid(dicamba)"	-9.9																																																																																										
5-amino-4-chloro-2-phenyl-3-(2H)-pyridazinone(pyrazon)	-16.4																																																																																										
"6-chloro-N,N'-diethyl-1,3,5-triazine-2,4-diamine(simazine)"	-10.2																																																																																										
"methyl2-(4,6-dimethylpyrimidin-2-ylcarbamoylsulfamoyl)benzoate(sulfometuron-methyl)"	-20.3																																																																																										
3-t-butyl-5-chloro-6-methyluracil(terbacil)	-11.1																																																																																										
"N2-tert-butyl-N4-ethyl-6-methylthio-1,3,5-triazine-2,4-diamine(terbutryn)"	-6.7																																																																																										
"3-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)thiophene-2-carboxylicacid(thifensulfuron)"	-16.2																																																																																										
"dimethyl(RS)-2,2,2-trichloro-1-hydroxyethylphosphonate(trichlorfon)"	-12.7																																																																																										
"a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine(trifluralin)"	-3.3																																																																																										
S-propyldipropyl(thiocarbamate)(vernolate)	-4.1																																																																																										
4-amino-4'-nitroazobenzene	-11.2																																																																																										
1-amino-4-anilinoanthraquinone	-7.4																																																																																										
"1,4,5,8-tetraminoanthraquinone"	-8.9																																																																																										
1-amino-anthraquinone	-8.0																																																																																										
"(2-dimethylamino-5,6-dimethyl-pyrimidin-4-yl)N,N-dimethylcarbamate(pirimor,pirimicarb)"	-9.4																																																																																										
6-chlorouracil	-15.83																																																																																										
"N-(3,4-dichlorophenyl)propanamide(propanil)"	-7.8																																																																																										
"N2,N4-diisopropyl-6-methylthio-1,3,5-triazine-2,4-diamine(prometryn)"	-8.4																																																																																										
"N-cyclopropylmethyl-2,6-dinitro-N-propyl-4-trifluoromethylaniline(profluralin)"	-2.5																																																																																										
"3,5,5-trimethyl-2-cyclohexen-1-one(isophorone)"	-5.2																																																																																										
"N1,N1-diethyl-2,6-dinitro-4-trifluoromethyl-m-phenylenediamine(dinitramine)"	-5.7																																																																																										
"(RS)-2-sec-butyl-4,6-dinitrophenol(dinoseb)"	-6.2																																																																																										
"6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepine-3-oxide(endosulfanalpha)"	-4.2																																																																																										
"(1R,4S,4aS,5S,6S,7R,8R,8aR)-1,2,3,4,10,10-hexachloro-1,4,4a,5,6,7,8,8a-octahydro-6,7-epoxy-1,4:5,8-dimethanonaphthalene(endrin)"	-5.5																																																																																										
"O,O,O',O'-tetraethylS,S'-methylenebis(phosphorodithioate)(ethion)"	-6.1																																																																																										
"1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene(heptachlor)"	-2.6																																																																																										
2-(dimethoxyphosphinothioylthio)butanedioicaciddiethylester(malathion)	-8.2																																																																																										
"O,O-diethylS-ethylthiomethylphosphorodithioate(phorate)"	-4.4																																																																																										
N-methylcarbamicacid[1-(methylthio)ethylideneamino]ester(methomyl)	-10.7																																																																																										
"methyl2-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)benzoate(metsulfuronmethyl)"	-15.5																																																																																										
"4-mesyl-2,6-dinitro-N,N-dipropylaniline(nitralin)"	-8.0																																																																																										
ethylperoxide	-5.32																																																																																										
"O,O-diethyl-O-4-nitro-phenylthiophosphate(parathion)"	-6.7																																																																																										
S-propylbutyl(ethyl)thiocarbamate(pebulate)	-3.6																																																																																										
"1,3-diacetyloxypropan-2-ylacetate(glyceroltriacetate)"	-8.84																																																																																										
hexachloroethane	-1.4																																																																																										
methylperoxide	-5.28																																																																																										
cyclopentene	0.56																																																																																										
n-decane														-6.53																																																																													
cyclohexanone																																																			-6.25																																								
carbontet						-4.35																																																																																					
carbondisulfide																																-3.95																																																											
butylbenzene																																																-6.86																																											
benzylalcohol																																																	-8.61																																										
4-methyl-2-pentanone																																						-5.23																																																					
n-pentadecane																																																										-9.91																																	
perfluorobenzene																																		-4.42																																																									
secbutanol																																																							-5.48																																				
tbutylbenzene																																					-6.43																																																						
tetralin																																																								-7.55																																			
triethylamine																																																																									-4.44																		
trimethylbenzene																																															-6.47																																												
n-undecane																																							-7.22																																																				
dibutylether																																	-5.76																																																										
dichloroethane													-4.69																																																																														
dimethylsulfoxide																																																																																-7.63											
dimethylmethylphosphonate			-5.43																																																																																								
1-nonanol																																																				-9.05																																							
n-nonane																					-5.91																																																																						
mesitylene																																																																										-6.4																	
isopropylbenzene																													-6.04																																																														
isobutanol																														-5.79																																																													
3-iodopropene			-4.1																																																																																								
2-pyrrolidinone		-8.85																																																																																									
n-dodecane																																																													-7.83																														
1-fluorooctane			-5.25																																																																																								
1-fluorohexane			-4.03																																																																																								
fluoroethane			-0.76																																																																																								
ethyloctadecanoate			-13.69																																																																																								
chrysene			-14.1																																																																																								
n-hexadecane			-10.52																																																																																								
"cis-1,2-dimethylcyclohexane"	1.58																																																																																										
azetidine	-5.56																																																																																										
"1,2-ethanediamine"	-9.72																																																																																										
pyrrolidine	-5.48																																																																																										
hexafluoroethane	3.94																																																																																										
octafluoropropane	4.28																																																																																										
"1,1,1,2-tetrachloroethane"	-1.15																																																																																										
2-chlorobutane	0.07																																																																																										
1-chloropentane	0.07																																																																																										
2-chloropentane	0.07																																																																																										
chlorotoluene	-1.92																																																																																										
o-chlorotoluene	-1.15																																																																																										
chloropentaflouroethane	2.86																																																																																										
"2,6-dichlorothiobenzamide"	-10.81																																																																																										
dimethyl5-(4-chloro)bicyclo[3.2.0]heptylphosphate	-7.28																																																																																										
"1,1-dimethylhydrazine"	-4.48																																																																																										
N-ethylaniline	-4.62																																																																																										
"N,N-dimethylaniline"	-3.58																																																																																										
"3,aminoaniline"	-9.92																																																																																										
methyloctanoate	-2.04																																																																																										
Z-N-methylacetamide	-10.0																																																																																										
E-N-methylacetamide	-10.0																																																																																										
chloromethane	-0.56																																																																																										
N-methylpiperazine	-7.77																																																																																										
"N,N'-dimethylpiperazine"	-7.58																																																																																										
methanethiol	-1.24																																																																																										
2-methoxyethanamine	-6.55																																																																																										
butenyne	0.04																																																																																										
fluoromethane	-0.22																																																																																										
chloroethene	-0.59																																																																																										
N-methylmorpholine	-6.34																																																																																										
chlorofluoromethane	-0.77																																																																																										
1-bromo-2-chloroethane	-1.95																																																																																										
"1-chloro-2,2,2-trifluoroethane"	0.06																																																																																										
"1-chloro-2,2,2-trifluoroethyldifluoromethylether"	0.11																																																																																										
bis(2-chloroethyl)sulfide	-3.92																																																																																										
phosphine	0.6																																																																																										
trimethylorthotrifluoroacetate	-0.8																																																																																										
